Day,Time,Type,Title,Presenter,Notes,Announced in batch,Abstract
Sat,11:10,Normal,cocotb Gets A Glow Up: Fixes and Features of 2.0,Kaleb Barrett,Verification,2,"Since it's inception and the minting of 1.0, cocotb has carried with it several design issues that only API-breaking changes could fix. 2024 is the year those issues finally get fixed. cocotb 2.0 includes changes to how tests are parameterized and selected, how tasks are managed, how HDL values are represented in Python, and how simulations are run. Tune in to this talk to learn how to leverage these new features and how to make your code 2.0 compliant."
Sat,11:30,Normal,Forastero: cocotb testbenches with batteries included,Peter Birch,"Verification, together with Stuart",1,"Forastero is a Python library that builds on top of cocotb adding standard components like drivers, monitors, and scoreboards but without bringing the full weight of a UVM environment. While in some ways a spiritual successor to cocotb-bus, Forastero goes further and provides mechanisms for generating complex random stimulus. In this talk I'll present how you can use Forastero to quickly construct a testbench around a DUT, driving and monitoring multiple interfaces, and producing complex stimulus patterns. Forastero is fully open source and comes with both documentation and examples. It can be found on GitHub at github.com/Intuity/forastero"
Sat,11:50,Normal,Buckets of Coverage,Stuart Alldred,"Verification, right afterPeter",,"Bucket is a python-based functional coverage tool designed to work easily with cocotb(/Forastero). It allows for the easy creation of multiple nested covergroups and coverpoints with a straight forward sampling mechanism. Each coverpoint is a cross of one or more axes, with the ability to modify target hits, illegal or ignore status for each bucket. The data to be covered can be sampled directly from the DUT, higher levels of abstraction (such as entire CPU pipelines), or even parsing of logs/test output. Bucket is being actively developed and used by Vypercore for our own IP. It is fully open source and available at github.com/VyperCore/bucket, where you can find further documentation and examples."
Sat,12:10,Normal,BYOL (Build Your Own Linter) - UVMLint for IEEE-UVM core code development,Ajeetha Kumari Venkatesan,Verification,1,"UVM is the most adopted design verification methodology in the field of ASIC and FPGA designs. Lint and static checking of code has proven to be very effective in projects that have wide user base, longer lifetime and distributed developers. During the recent UVM IEEE 1800.2-2023 release cycle, an observation was made regarding the potential application of a custom UVMLint solution to lint the UVM Base Class Library (BCL) as it gets developed, updated etc. We at AsFigo have developed custom rules for linting UVM BCL code on top of PySlint, an open-source SystemVerilog testbench linter. We intend to offer this as an opensource lint package to the UVM IEEE committee and to the general audience via GitHub. The eventual goal is to have these rules as gatekeepers via GitHub actions so that any future code addition to the UVM BCL is free from common pitfalls. Based on early brainstorming, below are some of the sample lint rules that are relevant to the UVM BCL codebase: • Avoid race condition around ""static const"" (use localparam instead) • Avoid one-liner conditional statements: o if (cond) $display (""cond""); o if (cond) .. else $display (""Else cond as single line""); o case..endcase • Avoid one-liner code in loops: o for, repeat, while, do..while, foreach • Use enadlabels for elements such as endclass, endfunction, endtask etc. • Flag non-virtual methods Typical UVMLint rules for a VIP user would be quite different from the requirements of UVM BCL. These rules are tailored for UVM BCL codebase. As an example, a typical UVMLint rule for a VIP would be: • Check that agent is reusable by ensuring that active components are guarded with a conditional check to is_active == UVM_ACTIVE Such a rule is quite useless for UVM BCL as it provides the base class library for tens of thousands of engineers around the globe using this library to build VIPs, verify their IPs, systems etc. In this talk we show how we approach this cusotm UVMLint development with sample Python code, tests and results. A snapshot of UVMLint findings on latest IEEE 1800.2-2023 codebase is below: ** Violation count by Rule-IDs ** DBG_CL_MISSING_ENDLABEL : 286 DBG_METHOD_MISSING_ENDLABEL : 1899 DBG_FN_MISSING_ENDLABEL : 752 DBG_AVOID_ONE_LINER_IF : 73 DBG_AVOID_ONE_LINER_ELSE : 88 RACE_NO_STATIC_CONST : 8 REUSE_NON_VIRTUAL_METHOD : 1407 --- UVMLint Concise Report --- Total number of rules violated: 7"
Sat,12:30,Break,Lunch Break,,,,
Sat,13:20,Normal,Co-simulation with Renode DPI and SystemC interfaces for architectural exploration and development of SoCs,Piotr Zierhoffer,Verification,,"The Renode simulation framework is being used in a number of projects and open source initiatives developing new ASIC-targeted IPs and SoCs. It lets you mix fast, functional full-system simulation with co-simulated RTL blocks. This talk will show how Renode's DPI interface support allows interfacing SystemVerilog IP simulated with Verilator or other DPI-capable simulators via a range of bus interfaces as well as present the newly-added SystemC TLM support. Renode's co-simulation capabilities together with features like trace-based modeling as well as flexible support of the RISC-V ISA including simple definition of custom instructions, help explore architectural choices, analyze the security and performance of in-development SoCs, develop software pre-silicon, and build rigorous, deterministic test suites which guide teams through the entire development lifecycle of SoCs."
Sat,13:40,Normal,Synthesizing Music Synthesizers,Sebastian Holzapfel,"Tool, IP",2,"Tiliqua is an open hardware development platform, DSP library and collection of examples (built in Amaranth HDL) that aims to make FPGA-based audio and video synthesis more accessible. The hardware itself is designed to integrate into the Eurorack ecosystem, or can be easily taken apart and used in custom instrument designs. This presentation will go through the Tiliqua hardware design, the RTL framework provided and some of the included example projects. The project is distributed under CERN-OHL-S-V2 and is under active development here: https://github.com/apfelaudio/tiliqua"
Sat,14:00,Normal,Teaching Analog IC Design using Open Source Tools,Ted Johansson,"Education, Analog",,"EU and USA Chips Act programs have regained the focus on fabrication of semiconductors, new devices, circuit design, and the supply chains. In the next couple of years, huge amounts of money, shared between government and industry, will be spent on rebuilding the semiconductor industry in Europe and USA. However, during the last 25 years, this area has not attracted the students. We need to educate a new generation of engineers and researchers on semiconductors and circuit design. Analog/RF circuit design is usually not very complex, but often requires knowledge of actual device physics and parameters. It also requires many simulation to find good circuit solutions and robust designs. Open-source tools for parts of IC design flows have been available for a long time, but only lately, open process information (process design kits, PDKs) has been made available, which make fully open-source design flows for circuit design and commercial foundry fabrication possible. But how well suited for exploring and teaching the principles of analog/RF IC design are open-source tools and PDKs compared to commercial tools and closed PDKs? And can they be used for prototype chips in research projects? In the presentation, I will describe how we created a PhD course (also suitable for master programs) on analog IC design, addressing the design chain, tools, and everything you need to know to design and have chips fabricated at a foundry using only open-source tools and PDKs. A comparison with the commercial tools currently used in education and industry will also be made."
Sat,14:20,Normal,Accelerating software development for emerging ISA extensions with cloud-based FPGAs: RVV case study,Marek Pikuła,"Tool, Core, cloud",1,"The RISC-V Vector Extension (RVV) promises an enhanced performance and power efficiency across various complex computational tasks. However, the efficient utilization of RVV demands careful consideration of the optimization approach. This article examines strategies for accelerating this process. Key challenges include assessing performance differences among algorithmic approaches and overcoming initial hardware constraints. FireSim provides a comprehensive solution by offering advanced software and hardware simulation capabilities. Utilizing FireSim, we started the process of enhancing source code with RVV instructions (called vectorization) for the pixman project. Our experience outlines the efficacy of a cloud-based FPGA simulation in expediting software development for emerging ISA extensions. Overall, FireSim facilitates faster iteration cycles and informed design decisions, benefiting individual developers and fostering collaboration in remote teams."
Sat,14:40,Normal,Digital Signal Processing: Modeling with Julia,David Hossack,Tool,,"Digital signal processing (DSP) paths are usually simulated at a high level using C or MATLAB/Simulink models to confirm basic functionality and to assess whether signal processing requirements such as frequency response and signal-to-noise ratio are being met. Complex signal processing paths consist of cascades of sigma-delta modulators, filter stages, mixers, modulators, demodulators etc each of which have a corresponding high level model. A very simple framework has been developed in Julia to enable combinations of DSP stages to be evaluated. This talk will discuss the experience of using Julia to combine models written in Julia and C, and designs written in Verilog (using Verilator) in industrial settings over many years. The principles should also be applicable to C++ or Python evaluation environments."
Sat,15:00,Break,Coffee Break,,,,
Sat,15:30,Normal,"OSVVM in a NutShell, VHDL’s #1 Verification Methodology",Jim Lewis,Verification,2,"OSVVM is a suite of libraries designed to streamline your VHDL entire verification process, boosting productivity and reducing development time. Each library provides independent capabilities, allowing selective adoption and a learn-as-you-go approach. Whether using directed or random testing, OSVVM facilitates writing concise and readable test cases for both simple unit/RTL tests and complex, full-chip or system-level FPGA and ASIC tests. OSVVM provides VHDL with verification capabilities that rival SystemVerilog + UVM. These include transaction-level modeling, verification components, co-simulation with software, randomized test generation, self-checking test support, verification data structures, comprehensive test reporting in HTML and text, and synchronization primitives. With OSVVM and a good team lead, any VHDL engineer can do verification – and have fun doing it. OSVVM grew rapidly during the COVID years, giving us better capability, better data structures, better test reporting (HTML and Junit), and scripting that is simple to use (and works with most VHDL simulators). This presentation will show how these advances fit into the overall OSVVM Methodology."
Sat,15:50,Normal,BenchBot: Automated OSVVM Testbench Template Generator for VHDL DUTs,Adruth Vasudevan Srinivasan / Arya Sharma,Verification,,"BenchBot is an open-source Python based app developed to automate the generation of OSVVM-compliant testbenches for VHDL designs. It utilizes YAML configuration files to define testbench parameters, enabling users to quickly produce tailored test environments for their DUTs. Main goal of this bot is to provide a ready-to-use OSVMM compliant testbench for a given VHDL DUT with popular elements such as clock generator, reset generator, main stimulus place holder, a watchdog etc. It also paves way to distributed test development by leveraging on modular testbench architecture using OSVMM framework. In this paper, we share our experience of using BenchBot on various open-source VHDL designs available online for the community, ensuring its reliability and versatility across different use cases. Along the way, we found a few unsupported constructs and added enhancements to the bot. This bot streamlines the process of creating standardized testbenches, making integrating it into existing VHDL development workflows easier."
Sat,16:10,Normal,Debug your Design with a Tiny Interpreter,Christopher Lozinski,FPGA,1,"Interpreters are very helpful tools for hardware development, but most existing tools require lots of memory, or slow interprocess communication. Best to use a tiny open source interpreter that runs on both the FPGA, and in the simulator, without any interprocess communication.  The Mecrisp Ice soft core includes such an interpreter. 2K cross compiled words of memory (4K Bytes) required for the nucleus.   On ICE 40 FPGAs, most people use 5K words for the entire system, plus 3K for their own application.    Smaller applications are also possible.  Using the interpreter for debugging, an 88 word compute kernel was built for loading SPRAM from FLASH.    Applications requiring more data memory are also possible."
Sat,16:30,Normal,APyTypes - NumPy for people that care about their bits,Oscar Gustafsson,Tool,,"APyTypes is an array library for Python with highly configurable bit-accurate fixed-point and floating-point data types of arbitrary word length written in C++. Hence, it can be used to easily simulate finite word length effects and to provide reference data for hardware implementations. This talk discuss features of APyTypes, how to work with it, and how it compares against other libraries with a similar purpose."
